Date_of_Journey,Airline,Source,Destination,Product,Customer,Booking
2021-03-09,FlyDubai,Chennai,Dubai,Business,First Flyer,26.562108967388543
2021-03-10,FlyDubai,Chennai,Dubai,Business,First Flyer,26.234847230014395
2021-03-11,FlyDubai,Chennai,Dubai,Business,First Flyer,23.60076165644392
2021-03-12,FlyDubai,Chennai,Dubai,Business,First Flyer,24.80574507042113
2021-03-13,FlyDubai,Chennai,Dubai,Business,First Flyer,25.190426337555472
2021-03-14,FlyDubai,Chennai,Dubai,Business,First Flyer,26.708644184681898
2021-03-15,FlyDubai,Chennai,Dubai,Business,First Flyer,25.747024391859703
2021-03-16,FlyDubai,Chennai,Dubai,Business,First Flyer,26.611643152469583
2021-03-17,FlyDubai,Chennai,Dubai,Business,First Flyer,26.284381414645715
2021-03-18,FlyDubai,Chennai,Dubai,Business,First Flyer,23.65029584061299
2021-03-19,FlyDubai,Chennai,Dubai,Business,First Flyer,24.85527925413312
2021-03-20,FlyDubai,Chennai,Dubai,Business,First Flyer,25.23996052126635
2021-03-21,FlyDubai,Chennai,Dubai,Business,First Flyer,26.758178368391736
2021-03-22,FlyDubai,Chennai,Dubai,Business,First Flyer,25.796558575570437
2021-03-23,FlyDubai,Chennai,Dubai,Business,First Flyer,26.661177336184274
2021-03-24,FlyDubai,Chennai,Dubai,Business,First Flyer,26.333914850998998
2021-03-25,FlyDubai,Chennai,Dubai,Business,First Flyer,23.699828529610624
2021-03-26,FlyDubai,Chennai,Dubai,Business,First Flyer,24.9048111957735
2021-03-27,FlyDubai,Chennai,Dubai,Business,First Flyer,25.289491715549477
2021-03-28,FlyDubai,Chennai,Dubai,Business,First Flyer,26.807708815316904
2021-03-29,FlyDubai,Chennai,Dubai,Business,First Flyer,25.846088275134893
2021-03-30,FlyDubai,Chennai,Dubai,Business,First Flyer,26.71070628838908
2021-03-31,FlyDubai,Chennai,Dubai,Business,First Flyer,26.383443803204806
2021-04-01,FlyDubai,Chennai,Dubai,Business,First Flyer,23.74935748181636
2021-04-02,FlyDubai,Chennai,Dubai,Business,First Flyer,24.954340147979533
2021-04-03,FlyDubai,Chennai,Dubai,Business,First Flyer,25.33902066776098
2021-04-04,FlyDubai,Chennai,Dubai,Business,First Flyer,26.85723776752631
2021-04-05,FlyDubai,Chennai,Dubai,Business,First Flyer,25.895617226968714
2021-04-06,FlyDubai,Chennai,Dubai,Business,First Flyer,26.760235239839435
2021-04-07,FlyDubai,Chennai,Dubai,Business,First Flyer,26.43297275426901
2021-04-08,FlyDubai,Chennai,Dubai,Business,First Flyer,23.798886432505554
2021-04-09,FlyDubai,Chennai,Dubai,Business,First Flyer,25.003869098280298
2021-04-10,FlyDubai,Chennai,Dubai,Business,First Flyer,25.38854961768078
2021-04-11,FlyDubai,Chennai,Dubai,Business,First Flyer,26.906766717065
2021-04-12,FlyDubai,Chennai,Dubai,Business,First Flyer,25.945146176502295
2021-04-13,FlyDubai,Chennai,Dubai,Business,First Flyer,26.80976418937372
2021-04-14,FlyDubai,Chennai,Dubai,Business,First Flyer,26.482501703805404
2021-04-15,FlyDubai,Chennai,Dubai,Business,First Flyer,23.848415382040567
2021-04-16,FlyDubai,Chennai,Dubai,Business,First Flyer,25.053398047819236
2021-04-17,FlyDubai,Chennai,Dubai,Business,First Flyer,25.438078564264774
2021-04-18,FlyDubai,Chennai,Dubai,Business,First Flyer,26.95629566069357
2021-04-19,FlyDubai,Chennai,Dubai,Business,First Flyer,25.994675117177522
2021-04-20,FlyDubai,Chennai,Dubai,Business,First Flyer,26.859293127098436
