Date_of_Journey,Airline,Source,Destination,Product,Customer,Booking
2022-06-08,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,33.3134702078515
2022-06-09,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.670240157044766
2022-06-10,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.86983127471596
2022-06-11,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,32.43773321684234
2022-06-12,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.63988867429635
2022-06-13,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.355239643119763
2022-06-14,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.697990913093527
2022-06-15,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,33.24991838920062
2022-06-16,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.606688338397195
2022-06-17,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.806279456067223
2022-06-18,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,32.37418139819559
2022-06-19,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.576336855645728
2022-06-20,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.291687824464702
2022-06-21,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.63443909444108
2022-06-22,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,33.186366570549154
2022-06-23,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.543136519738546
2022-06-24,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.742727637412177
2022-06-25,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,32.31062957953765
2022-06-26,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.512785036994224
2022-06-27,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.228136005813113
2022-06-28,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.570887275787555
2022-06-29,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,33.122814751890935
2022-06-30,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.47958470108845
2022-07-01,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.679175818757134
2022-07-02,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,32.24707776088507
2022-07-03,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.44923321833433
2022-07-04,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.164584187158052
2022-07-05,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.507335457136186
2022-07-06,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,33.05926293324005
2022-07-07,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.416032882429803
2022-07-08,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.615624000102088
2022-07-09,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,32.18352594222665
2022-07-10,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.385681399682827
2022-07-11,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.101032368504168
2022-07-12,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.443783638482664
2022-07-13,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,32.9957111145855
2022-07-14,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.352481063782236
2022-07-15,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.552072181453354
2022-07-16,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,32.11997412358038
2022-07-17,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.322129581031326
2022-07-18,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.03748054985084
2022-07-19,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.380231819823994
2022-07-20,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,32.932159295930944
2022-07-21,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.288929245123587
2022-07-22,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.488520362790823
2022-07-23,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,32.056422304921966
2022-07-24,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.258577762375634
2022-07-25,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.973928731197514
2022-07-26,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.31668000117047
2022-07-27,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,32.868607477275816
2022-07-28,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.22537742646494
2022-07-29,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.424968544142086
2022-07-30,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.992870486269382
2022-07-31,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.195025943719934
2022-08-01,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.910376912542457
2022-08-02,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.253128182519095
2022-08-03,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,32.80505565862493
2022-08-04,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.161825607817377
2022-08-05,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.361416725487043
2022-08-06,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.929318667616805
2022-08-07,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.131474125069303
2022-08-08,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.846825093890857
2022-08-09,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.18957636386557
2022-08-10,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,32.74150383996671
2022-08-11,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.09827378915873
2022-08-12,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.29786490683713
2022-08-13,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.865766848964224
2022-08-14,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.067922306417803
2022-08-15,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.783273275235803
2022-08-16,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.126024545213124
2022-08-17,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,32.677952021315825
2022-08-18,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.034721970508627
2022-08-19,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.234313088175778
2022-08-20,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.802215030305817
2022-08-21,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.004370487757907
2022-08-22,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.719721456580185
2022-08-23,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.062472726554457
2022-08-24,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,32.61440020266127
2022-08-25,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.97117015185552
2022-08-26,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.17076126952704
2022-08-27,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.738663211659066
2022-08-28,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,29.940818669106406
2022-08-29,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.65616963792686
2022-08-30,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,29.99892090790201
2022-08-31,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,32.5508483840104
2022-09-01,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.90761833320241
2022-09-02,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.107209450878305
2022-09-03,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.67511139300112
2022-09-04,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,29.877266850450706
2022-09-05,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.59261781927353
2022-09-06,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,29.935369089248486
2022-09-07,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,32.487296565352175
2022-09-08,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.844066514546775
2022-09-09,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.043657632216952
2022-09-10,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.611559574348544
2022-09-11,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,29.813715031795013
2022-09-12,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.5290660006202
2022-09-13,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,29.87181727059711
2022-09-14,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,32.423744746700706
2022-09-15,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.78051469589367
2022-09-16,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.98010581356822
2022-09-17,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.54800775569013
2022-09-18,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,29.750163213144383
2022-09-19,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.46551418196459
2022-09-20,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,29.80826545194359
2022-09-21,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,32.36019292804616
2022-09-22,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.71696287724056
2022-09-23,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.916553994913166
2022-09-24,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.48445593704338
2022-09-25,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,29.68661139449288
2022-09-26,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.401962363313
2022-09-27,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,29.744713633290072
2022-09-28,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,32.2966411093916
2022-09-29,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.65341105858745
2022-09-30,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.85300217625695
2022-10-01,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.42090411838497
2022-10-02,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,29.623059575832986
2022-10-03,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.338410544657936
2022-10-04,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,29.681161814637623
2022-10-05,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,32.23308929073647
2022-10-06,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.589859239928806
2022-10-07,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.789450357601908
2022-10-08,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.357352299726568
2022-10-09,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,29.559507757181482
2022-10-10,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.27485872600461
2022-10-11,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,29.617609995978952
2022-10-12,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,32.16953747208559
2022-10-13,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.526307421281235
2022-10-14,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.72589853895317
2022-10-15,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.293800481080282
2022-10-16,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,29.49595593853086
2022-10-17,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.21130690735128
2022-10-18,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,29.554058177326503
2022-10-19,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,32.10598565342737
2022-10-20,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.46275560262259
2022-10-21,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.662346720298125
2022-10-22,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.230248662421868
2022-10-23,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,29.432404119879354
2022-10-24,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.14775508869796
2022-10-25,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,29.49050635867298
2022-10-26,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,32.04243383477649
2022-10-27,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.399203783972492
2022-10-28,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.598794901643075
2022-10-29,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.16669684376929
2022-10-30,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,29.368852301219462
2022-10-31,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.0842032700429
2022-11-01,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,29.42695454001539
2022-11-02,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.978882016125603
2022-11-03,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.335651965319382
2022-11-04,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.535243082988035
2022-11-05,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.10314502511671
2022-11-06,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,29.305300482567958
2022-11-07,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.020651451389014
2022-11-08,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,29.363402721361858
2022-11-09,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.91533019747105
2022-11-10,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.272100146666276
2022-11-11,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.471691264339302
2022-11-12,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.039593206464602
2022-11-13,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,29.241748663916457
2022-11-14,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,29.957099632735687
2022-11-15,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,29.299850902709416
2022-11-16,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.851778378816498
2022-11-17,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.20854832800763
2022-11-18,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.40813944567677
2022-11-19,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.976041387806188
2022-11-20,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,29.178196845256565
2022-11-21,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,29.89354781408236
2022-11-22,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,29.23629908405697
2022-11-23,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.788226560161366
2022-11-24,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.144996509348985
2022-11-25,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.344587627028034
2022-11-26,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.912489569153607
2022-11-27,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,29.11464502660506
2022-11-28,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,29.829995995426742
2022-11-29,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,29.17274726540452
2022-11-30,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.724674741510483
2022-12-01,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.081444690701417
2022-12-02,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.28103580837299
2022-12-03,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.84893775050103
2022-12-04,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,29.051093207954434
2022-12-05,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,29.76644417677515
2022-12-06,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,29.109195446750995
2022-12-07,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.66112292285226
2022-12-08,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.017892872042772
2022-12-09,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.217483989716772
2022-12-10,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.78538593184845
2022-12-11,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,28.987541389298734
2022-12-12,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,29.702892358120092
2022-12-13,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,29.04564362809855
2022-12-14,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.597571104201382
2022-12-15,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,29.95434105339267
2022-12-16,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.153932171061726
2022-12-17,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.721834113190045
2022-12-18,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,28.923989570643037
2022-12-19,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,29.63934053946503
2022-12-20,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,28.982091809439886
2022-12-21,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.534019285546826
2022-12-22,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,29.89078923473956
2022-12-23,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.09038035241299
2022-12-24,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.65828229454329
2022-12-25,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,28.860437751991537
2022-12-26,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,29.57578872081344
2022-12-27,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,28.918539990787433
2022-12-28,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,31.47046746689228
2022-12-29,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,29.827237416086454
2022-12-30,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.02682853376425
2022-12-31,FlyDubai,Chennai,Dubai,Business,Frequent Flyer,30.59473047588535
2021-01-01,FlyDubai,Chennai,Dubai,Business,Rare Flyer,27.011773339293473
2021-01-02,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.384922978793853
2021-01-03,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.73125485823908
2021-01-04,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.38528717843917
2021-01-05,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.712387419649136
2021-01-06,FlyDubai,Chennai,Dubai,Business,Rare Flyer,26.289472220576172
2021-01-07,FlyDubai,Chennai,Dubai,Business,Rare Flyer,25.88581552799858
2021-01-08,FlyDubai,Chennai,Dubai,Business,Rare Flyer,27.00105169173884
2021-01-09,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.374201331239846
2021-01-10,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.720533210689403
2021-01-11,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.37456553088541
2021-01-12,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.701665772099787
2021-01-13,FlyDubai,Chennai,Dubai,Business,Rare Flyer,26.278750573020115
2021-01-14,FlyDubai,Chennai,Dubai,Business,Rare Flyer,25.875093880642268
2021-01-15,FlyDubai,Chennai,Dubai,Business,Rare Flyer,26.99033004457943
2021-01-16,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.36347968427587
2021-01-17,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.70981156392036
2021-01-18,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.3638438843158
2021-01-19,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.690944125725796
2021-01-20,FlyDubai,Chennai,Dubai,Business,Rare Flyer,26.268028926851237
2021-01-21,FlyDubai,Chennai,Dubai,Business,Rare Flyer,25.86437223447163
2021-01-22,FlyDubai,Chennai,Dubai,Business,Rare Flyer,26.979608398412143
2021-01-23,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.352758038107943
2021-01-24,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.69908991775324
2021-01-25,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.35312223826511
2021-01-26,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.68022247979637
2021-01-27,FlyDubai,Chennai,Dubai,Business,Rare Flyer,26.257307281029387
2021-01-28,FlyDubai,Chennai,Dubai,Business,Rare Flyer,25.853650588774283
2021-01-29,FlyDubai,Chennai,Dubai,Business,Rare Flyer,26.968886752832915
2021-01-30,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.34203639264435
2021-01-31,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.68836827240984
2021-02-01,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.342400592924367
2021-02-02,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.669500834450947
2021-02-03,FlyDubai,Chennai,Dubai,Business,Rare Flyer,26.246585635692675
2021-02-04,FlyDubai,Chennai,Dubai,Business,Rare Flyer,25.84292894343379
2021-02-05,FlyDubai,Chennai,Dubai,Business,Rare Flyer,26.958165107489307
2021-02-06,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.331314747197112
2021-02-07,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.677646626853665
2021-02-08,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.331678947263402
2021-02-09,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.658779188681017
2021-02-10,FlyDubai,Chennai,Dubai,Business,Rare Flyer,26.235863989814447
2021-02-11,FlyDubai,Chennai,Dubai,Business,Rare Flyer,25.832207297449074
2021-02-12,FlyDubai,Chennai,Dubai,Business,Rare Flyer,26.947443461399537
2021-02-13,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.320593101107452
2021-02-14,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.666924980763078
2021-02-15,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.320957301170086
2021-02-16,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.64805754259086
2021-02-17,FlyDubai,Chennai,Dubai,Business,Rare Flyer,26.225142343722737
2021-02-18,FlyDubai,Chennai,Dubai,Business,Rare Flyer,25.821485650452928
2021-02-19,FlyDubai,Chennai,Dubai,Business,Rare Flyer,26.9367218134955
2021-02-20,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.309871452297166
2021-02-21,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.656203331049518
2021-02-22,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.31023565055315
2021-02-23,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.63733589106214
2021-02-24,FlyDubai,Chennai,Dubai,Business,Rare Flyer,26.214420691290698
2021-02-25,FlyDubai,Chennai,Dubai,Business,Rare Flyer,25.810763998015215
2021-02-26,FlyDubai,Chennai,Dubai,Business,Rare Flyer,26.926000161057075
2021-02-27,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.299149799859368
2021-02-28,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.64548167860624
2021-03-01,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.29951399750437
2021-03-02,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.626614237412156
2021-03-03,FlyDubai,Chennai,Dubai,Business,Rare Flyer,26.203699037033317
2021-03-04,FlyDubai,Chennai,Dubai,Business,Rare Flyer,25.80004234315602
2021-03-05,FlyDubai,Chennai,Dubai,Business,Rare Flyer,26.915278505593506
2021-03-06,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.288428143788483
2021-03-07,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.63476002193115
2021-03-08,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.288792340827385
2021-03-09,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.615892580732954
2021-03-10,FlyDubai,Chennai,Dubai,Business,Rare Flyer,26.192977380356464
2021-03-11,FlyDubai,Chennai,Dubai,Business,Rare Flyer,25.78932068647552
2021-03-12,FlyDubai,Chennai,Dubai,Business,Rare Flyer,26.90455684891468
2021-03-13,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.277706486446686
2021-03-14,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.624038363924253
2021-03-15,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.27807068215271
2021-03-16,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.605170921390155
2021-03-17,FlyDubai,Chennai,Dubai,Business,Rare Flyer,26.18225572034607
2021-03-18,FlyDubai,Chennai,Dubai,Business,Rare Flyer,25.778599025803395
2021-03-19,FlyDubai,Chennai,Dubai,Business,Rare Flyer,26.89383518757407
2021-03-20,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.266984825103883
2021-03-21,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.613316702583322
2021-03-22,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.267349020812958
2021-03-23,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.59444926005482
2021-03-24,FlyDubai,Chennai,Dubai,Business,Rare Flyer,26.171534059245907
2021-03-25,FlyDubai,Chennai,Dubai,Business,Rare Flyer,25.767877364941324
2021-03-26,FlyDubai,Chennai,Dubai,Business,Rare Flyer,26.883113526947373
2021-03-27,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.256263164715794
2021-03-28,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.602595042432984
2021-03-29,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.256627360897152
2021-03-30,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.583727600375
2021-03-31,FlyDubai,Chennai,Dubai,Business,Rare Flyer,26.160812399569686
2021-04-01,FlyDubai,Chennai,Dubai,Business,Rare Flyer,25.75715570526536
2021-04-02,FlyDubai,Chennai,Dubai,Business,Rare Flyer,26.872391867276647
2021-04-03,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.245541505041622
2021-04-04,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.59187338275788
2021-04-05,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.24590569772212
2021-04-06,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.573005933689547
2021-04-07,FlyDubai,Chennai,Dubai,Business,Rare Flyer,26.150090729373453
2021-04-08,FlyDubai,Chennai,Dubai,Business,Rare Flyer,25.746434031559687
2021-04-09,FlyDubai,Chennai,Dubai,Business,Rare Flyer,26.861670190062508
2021-04-10,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.234819824319626
2021-04-11,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.581151698531524
2021-04-12,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.235184013488492
2021-04-13,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.562284249456614
2021-04-14,FlyDubai,Chennai,Dubai,Business,Rare Flyer,26.13936904514534
2021-04-15,FlyDubai,Chennai,Dubai,Business,Rare Flyer,25.735712347329812
2021-04-16,FlyDubai,Chennai,Dubai,Business,Rare Flyer,26.8509485058314
2021-04-17,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.22409798576122
2021-04-18,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.570429705645523
2021-04-19,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.224461866277956
2021-04-20,FlyDubai,Chennai,Dubai,Business,Rare Flyer,24.55156194792361
2021-04-21,FlyDubai,Chennai,Dubai,Business,Rare Flyer,26.12864658928904
2021-04-22,FlyDubai,Chennai,Dubai,Business,Rare Flyer,25.724989737146117
2021-04-23,FlyDubai,Chennai,Dubai,Business,Rare Flyer,26.84022574132186
