Date_of_Journey,Airline,Source,Destination,Product,Customer,Revenue
2021-03-19,FlyDubai,Chennai,Dubai,Business,First Flyer,306838.4223922734
2021-03-20,FlyDubai,Chennai,Dubai,Business,First Flyer,311587.3126350331
2021-03-21,FlyDubai,Chennai,Dubai,Business,First Flyer,330329.71195779595
2021-03-22,FlyDubai,Chennai,Dubai,Business,First Flyer,318458.51561541704
2021-03-23,FlyDubai,Chennai,Dubai,Business,First Flyer,329132.2342151949
2021-03-24,FlyDubai,Chennai,Dubai,Business,First Flyer,325092.1788355826
2021-03-25,FlyDubai,Chennai,Dubai,Business,First Flyer,292574.38319804316
2021-03-26,FlyDubai,Chennai,Dubai,Business,First Flyer,307449.8942118239
2021-03-27,FlyDubai,Chennai,Dubai,Business,First Flyer,312198.7752284583
2021-03-28,FlyDubai,Chennai,Dubai,Business,First Flyer,330941.1653250872
2021-03-29,FlyDubai,Chennai,Dubai,Business,First Flyer,319069.95975654025
2021-03-30,FlyDubai,Chennai,Dubai,Business,First Flyer,329743.6691301632
2021-03-31,FlyDubai,Chennai,Dubai,Business,First Flyer,325703.6137505633
2021-04-01,FlyDubai,Chennai,Dubai,Business,First Flyer,293185.81811302295
2021-04-02,FlyDubai,Chennai,Dubai,Business,First Flyer,308061.32912680734
2021-04-03,FlyDubai,Chennai,Dubai,Business,First Flyer,312810.2101435093
2021-04-04,FlyDubai,Chennai,Dubai,Business,First Flyer,331552.6002401123
2021-04-05,FlyDubai,Chennai,Dubai,Business,First Flyer,319681.39466692874
2021-04-06,FlyDubai,Chennai,Dubai,Business,First Flyer,330355.10403581784
2021-04-07,FlyDubai,Chennai,Dubai,Business,First Flyer,326315.04865145095
2021-04-08,FlyDubai,Chennai,Dubai,Business,First Flyer,293797.2530092811
2021-04-09,FlyDubai,Chennai,Dubai,Business,First Flyer,308672.76401827025
2021-04-10,FlyDubai,Chennai,Dubai,Business,First Flyer,313421.6450302692
2021-04-11,FlyDubai,Chennai,Dubai,Business,First Flyer,332164.0351221674
2021-04-12,FlyDubai,Chennai,Dubai,Business,First Flyer,320292.8295489209
2021-04-13,FlyDubai,Chennai,Dubai,Business,First Flyer,330966.53891781863
2021-04-14,FlyDubai,Chennai,Dubai,Business,First Flyer,326926.4835334777
2021-04-15,FlyDubai,Chennai,Dubai,Business,First Flyer,294408.68789129076
2021-04-16,FlyDubai,Chennai,Dubai,Business,First Flyer,309284.1989003285
2021-04-17,FlyDubai,Chennai,Dubai,Business,First Flyer,314033.0798758486
2021-04-18,FlyDubai,Chennai,Dubai,Business,First Flyer,332775.46993126214
2021-04-19,FlyDubai,Chennai,Dubai,Business,First Flyer,320904.2643215565
2021-04-20,FlyDubai,Chennai,Dubai,Business,First Flyer,331577.9736540302
2021-04-21,FlyDubai,Chennai,Dubai,Business,First Flyer,327537.9182332436
2021-04-22,FlyDubai,Chennai,Dubai,Business,First Flyer,295020.12255458743
2021-04-23,FlyDubai,Chennai,Dubai,Business,First Flyer,309895.6335271958
2021-04-24,FlyDubai,Chennai,Dubai,Business,First Flyer,314644.51450266375
2021-04-25,FlyDubai,Chennai,Dubai,Business,First Flyer,333386.90455815196
2021-04-26,FlyDubai,Chennai,Dubai,Business,First Flyer,321515.69894843595
2021-04-27,FlyDubai,Chennai,Dubai,Business,First Flyer,332189.40828088525
2021-04-28,FlyDubai,Chennai,Dubai,Business,First Flyer,328149.3518543389
2021-04-29,FlyDubai,Chennai,Dubai,Business,First Flyer,295631.55517007085
2021-04-30,FlyDubai,Chennai,Dubai,Business,First Flyer,310507.06513692165
2021-05-01,FlyDubai,Chennai,Dubai,Business,First Flyer,315255.94510668813
2021-05-02,FlyDubai,Chennai,Dubai,Business,First Flyer,333998.3341564365
2021-05-03,FlyDubai,Chennai,Dubai,Business,First Flyer,322127.1275410328
2021-05-04,FlyDubai,Chennai,Dubai,Business,First Flyer,332800.8358678022
2021-05-05,FlyDubai,Chennai,Dubai,Business,First Flyer,328760.7794413401
2021-05-06,FlyDubai,Chennai,Dubai,Business,First Flyer,296242.98275695514
2021-05-07,FlyDubai,Chennai,Dubai,Business,First Flyer,311118.49272381817
2021-05-08,FlyDubai,Chennai,Dubai,Business,First Flyer,315867.37269357115
2021-05-09,FlyDubai,Chennai,Dubai,Business,First Flyer,334609.76174329355
2021-05-10,FlyDubai,Chennai,Dubai,Business,First Flyer,322738.5551258684
2021-05-11,FlyDubai,Chennai,Dubai,Business,First Flyer,333412.2634506542
2021-05-12,FlyDubai,Chennai,Dubai,Business,First Flyer,329372.2070220553
2021-05-13,FlyDubai,Chennai,Dubai,Business,First Flyer,296854.4103356732
2021-05-14,FlyDubai,Chennai,Dubai,Business,First Flyer,311729.92030052654
2021-05-15,FlyDubai,Chennai,Dubai,Business,First Flyer,316478.8002682461
2021-05-16,FlyDubai,Chennai,Dubai,Business,First Flyer,335221.1893159231
2021-05-17,FlyDubai,Chennai,Dubai,Business,First Flyer,323349.98269847134
2021-05-18,FlyDubai,Chennai,Dubai,Business,First Flyer,334023.69102322706
2021-05-19,FlyDubai,Chennai,Dubai,Business,First Flyer,329983.63459469297
2021-05-20,FlyDubai,Chennai,Dubai,Business,First Flyer,297465.8379082938
2021-05-21,FlyDubai,Chennai,Dubai,Business,First Flyer,312341.3478731145
2021-05-22,FlyDubai,Chennai,Dubai,Business,First Flyer,317090.22780164465
2021-05-23,FlyDubai,Chennai,Dubai,Business,First Flyer,335832.61681017745
2021-05-24,FlyDubai,Chennai,Dubai,Business,First Flyer,323961.4101535621
2021-05-25,FlyDubai,Chennai,Dubai,Business,First Flyer,334635.11843909323
2021-05-26,FlyDubai,Chennai,Dubai,Business,First Flyer,330595.0619713852
2021-05-27,FlyDubai,Chennai,Dubai,Business,First Flyer,298077.2652456794
2021-05-28,FlyDubai,Chennai,Dubai,Business,First Flyer,312952.77517131716
2021-05-29,FlyDubai,Chennai,Dubai,Business,First Flyer,317701.6550998464
2021-05-30,FlyDubai,Chennai,Dubai,Business,First Flyer,336444.0441083663
2021-05-31,FlyDubai,Chennai,Dubai,Business,First Flyer,324572.8374517244
2021-06-01,FlyDubai,Chennai,Dubai,Business,First Flyer,335246.54573726427
2021-06-02,FlyDubai,Chennai,Dubai,Business,First Flyer,331206.488899276
2021-06-03,FlyDubai,Chennai,Dubai,Business,First Flyer,298688.69180328323
2021-06-04,FlyDubai,Chennai,Dubai,Business,First Flyer,313564.20135862706
2021-06-05,FlyDubai,Chennai,Dubai,Business,First Flyer,318313.08091682347
2021-06-06,FlyDubai,Chennai,Dubai,Business,First Flyer,337055.4695550411
2021-06-07,FlyDubai,Chennai,Dubai,Business,First Flyer,325184.26252810226
2021-06-08,FlyDubai,Chennai,Dubai,Business,First Flyer,335857.97044331144
2021-06-09,FlyDubai,Chennai,Dubai,Business,First Flyer,331817.91360527725
2021-06-10,FlyDubai,Chennai,Dubai,Business,First Flyer,299300.1165092836
2021-06-11,FlyDubai,Chennai,Dubai,Business,First Flyer,314175.62606468645
2021-06-12,FlyDubai,Chennai,Dubai,Business,First Flyer,318924.50562290824
2021-06-13,FlyDubai,Chennai,Dubai,Business,First Flyer,337666.89426108677
2021-06-14,FlyDubai,Chennai,Dubai,Business,First Flyer,325795.6872298129
2021-06-15,FlyDubai,Chennai,Dubai,Business,First Flyer,336469.3951406369
2021-06-16,FlyDubai,Chennai,Dubai,Business,First Flyer,332429.3382981958
2021-06-17,FlyDubai,Chennai,Dubai,Business,First Flyer,299911.5411979794
2021-06-18,FlyDubai,Chennai,Dubai,Business,First Flyer,314787.050748886
2021-06-19,FlyDubai,Chennai,Dubai,Business,First Flyer,319535.93030280137
2021-06-20,FlyDubai,Chennai,Dubai,Business,First Flyer,338278.31893664255
2021-06-21,FlyDubai,Chennai,Dubai,Business,First Flyer,326407.11190535844
2021-06-22,FlyDubai,Chennai,Dubai,Business,First Flyer,337080.8198161967
2021-06-23,FlyDubai,Chennai,Dubai,Business,First Flyer,333040.7629737758
2021-06-24,FlyDubai,Chennai,Dubai,Business,First Flyer,300522.9658734899
2021-06-25,FlyDubai,Chennai,Dubai,Business,First Flyer,315398.47542443214
2021-06-26,FlyDubai,Chennai,Dubai,Business,First Flyer,320147.3549828627
2021-06-27,FlyDubai,Chennai,Dubai,Business,First Flyer,338889.74362115737
2021-06-28,FlyDubai,Chennai,Dubai,Business,First Flyer,327018.53659438406
2021-06-29,FlyDubai,Chennai,Dubai,Business,First Flyer,337692.2445097231
2021-06-30,FlyDubai,Chennai,Dubai,Business,First Flyer,333652.1876718304
2021-07-01,FlyDubai,Chennai,Dubai,Business,First Flyer,301134.3905760957
2021-07-02,FlyDubai,Chennai,Dubai,Business,First Flyer,316009.9001315896
2021-07-03,FlyDubai,Chennai,Dubai,Business,First Flyer,320758.7796899421
2021-07-04,FlyDubai,Chennai,Dubai,Business,First Flyer,339501.1683283246
2021-07-05,FlyDubai,Chennai,Dubai,Business,First Flyer,327629.9613015409
2021-07-06,FlyDubai,Chennai,Dubai,Business,First Flyer,338303.66921691375
2021-07-07,FlyDubai,Chennai,Dubai,Business,First Flyer,334263.6121046328
2021-07-08,FlyDubai,Chennai,Dubai,Business,First Flyer,301745.81473454455
2021-07-09,FlyDubai,Chennai,Dubai,Business,First Flyer,316621.32401572465
2021-07-10,FlyDubai,Chennai,Dubai,Business,First Flyer,321370.20329976594
2021-07-11,FlyDubai,Chennai,Dubai,Business,First Flyer,340112.59166380926
2021-07-12,FlyDubai,Chennai,Dubai,Business,First Flyer,328241.3843626786
2021-07-13,FlyDubai,Chennai,Dubai,Business,First Flyer,338915.0920036906
2021-07-14,FlyDubai,Chennai,Dubai,Business,First Flyer,334875.03489149973
2021-07-15,FlyDubai,Chennai,Dubai,Business,First Flyer,302357.2375214136
2021-07-16,FlyDubai,Chennai,Dubai,Business,First Flyer,317232.7468025394
2021-07-17,FlyDubai,Chennai,Dubai,Business,First Flyer,321981.6260865541
2021-07-18,FlyDubai,Chennai,Dubai,Business,First Flyer,340724.0144505481
2021-07-19,FlyDubai,Chennai,Dubai,Business,First Flyer,328852.8071323635
2021-07-20,FlyDubai,Chennai,Dubai,Business,First Flyer,339526.5147563227
2021-07-21,FlyDubai,Chennai,Dubai,Business,First Flyer,335486.4576269786
2021-07-22,FlyDubai,Chennai,Dubai,Business,First Flyer,302968.66023981
2021-07-23,FlyDubai,Chennai,Dubai,Business,First Flyer,317844.16950382094
2021-07-24,FlyDubai,Chennai,Dubai,Business,First Flyer,322593.0487707463
2021-07-25,FlyDubai,Chennai,Dubai,Business,First Flyer,341335.4371176659
2021-07-26,FlyDubai,Chennai,Dubai,Business,First Flyer,329464.22979940154
2021-07-27,FlyDubai,Chennai,Dubai,Business,First Flyer,340137.93742333073
2021-07-28,FlyDubai,Chennai,Dubai,Business,First Flyer,336097.8802939988
2021-07-29,FlyDubai,Chennai,Dubai,Business,First Flyer,303580.0829068294
2021-07-30,FlyDubai,Chennai,Dubai,Business,First Flyer,318455.5921708439
2021-07-31,FlyDubai,Chennai,Dubai,Business,First Flyer,323204.4714352678
2021-08-01,FlyDubai,Chennai,Dubai,Business,First Flyer,341946.85977959255
2021-08-02,FlyDubai,Chennai,Dubai,Business,First Flyer,330075.6524588377
2021-08-03,FlyDubai,Chennai,Dubai,Business,First Flyer,340749.3600801792
2021-08-04,FlyDubai,Chennai,Dubai,Business,First Flyer,336709.30294827884
2021-08-05,FlyDubai,Chennai,Dubai,Business,First Flyer,304191.50555850717
2021-08-06,FlyDubai,Chennai,Dubai,Business,First Flyer,319067.014819952
2021-08-07,FlyDubai,Chennai,Dubai,Business,First Flyer,323815.89408437524
2021-08-08,FlyDubai,Chennai,Dubai,Business,First Flyer,342558.2824287104
2021-08-09,FlyDubai,Chennai,Dubai,Business,First Flyer,330687.0751078925
